id,identifier,motion_text,motion_classification,start_date,result,organization_id,bill_id,bill_action_id,jurisdiction,session_identifier
ocd-vote/f25c0b0b-0cef-4a91-944a-9b282197a14e,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/7045d4f8-c374-4840-b16a-f0e711335680,,Illinois,103rd
ocd-vote/4905c605-6d8d-41ff-9511-b0b0fd659c1c,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/8577fe82-c109-400e-9c94-ab1cd62c1d2d,,Illinois,103rd
ocd-vote/b025e383-481a-46ab-95cc-1f1ec2c29ef4,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/beadb04d-38f6-4356-a1e7-917b7740e080,,Illinois,103rd
ocd-vote/b0268924-b33e-4436-a40d-ac39b7acaf76,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/be34c6c8-b895-4f3b-80b7-b0a5f04208da,,Illinois,103rd
ocd-vote/13e2657e-6adf-454b-bee2-e08f4bca56c1,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/36806da5-d2c3-40b3-8f3c-b778d8c8545d,,Illinois,103rd
ocd-vote/a12b6b3c-b275-4961-8b13-fc79c5c0c3bb,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/e83adf07-5710-4709-9623-1c3645fbd529,,Illinois,103rd
ocd-vote/49b5bd73-0f0f-47b9-a267-a4f59aa1dc64,,Executive Appointments,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/be34c6c8-b895-4f3b-80b7-b0a5f04208da,,Illinois,103rd
ocd-vote/bb67a1e5-2e09-45b9-a2e9-0a86396e6421,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/6221afe3-0ee7-4871-b39e-d79a88caedc6,,Illinois,103rd
ocd-vote/20caeb9f-83f6-4748-891f-27f9257683c6,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/bb76cda4-b57b-4bcc-b8df-1e98ddd0e857,,Illinois,103rd
ocd-vote/9c643d5f-0377-4a4e-adea-ac38eb1e9811,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/1b53c10d-842b-45e0-a79f-72a3ebbfa653,,Illinois,103rd
ocd-vote/e07d10ee-25c5-47ef-9be7-d260297aafc4,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/6f49e566-fc74-4be1-b199-00796c2a06e7,,Illinois,103rd
ocd-vote/d94aa7e5-c21c-4043-b291-38e85733fdf3,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/ccfe0e81-312e-42cd-a169-62ffd7460756,,Illinois,103rd
ocd-vote/e551fddb-2512-4da1-ba92-5248964aa688,,Executive Appointments,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/3f1f9c50-c81a-4682-886b-b845c6e7a97a,,Illinois,103rd
ocd-vote/8647e77c-8a0d-4a0f-bebc-f1bbbad23682,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/dd1c2da2-0c4a-431e-9d01-6f4adfd70b13,,Illinois,103rd
ocd-vote/6a9b368a-1249-42ad-bfee-fc1a0fe07022,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/97872c39-8462-4539-bfa9-010d42942fdf,,Illinois,103rd
ocd-vote/a67cdd5e-7db8-49eb-8518-205e8d59c16e,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/3f1f9c50-c81a-4682-886b-b845c6e7a97a,,Illinois,103rd
ocd-vote/1176f962-8891-4298-bb2e-7d1d0d02bc68,,Executive Appointments,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/244faded-dc81-4d57-880d-cb1c103e6f08,,Illinois,103rd
ocd-vote/1ddac24b-2ba2-4ce1-8922-20dcce80ccb8,,Executive Appointments,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/1b53c10d-842b-45e0-a79f-72a3ebbfa653,,Illinois,103rd
ocd-vote/2ff11bf3-e705-4d9e-9175-fc42d33f76d0,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/c3bfa704-edf5-421e-9e90-d50ca7811f08,,Illinois,103rd
ocd-vote/9edcfc6d-4d87-4fb6-ae74-7a22657f26d6,,Executive Appointments,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/6221afe3-0ee7-4871-b39e-d79a88caedc6,,Illinois,103rd
ocd-vote/907454ef-2601-4c79-b6b2-0807af85eec5,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/01754edb-4210-467f-8be5-8d8fbfc18273,,Illinois,103rd
ocd-vote/f09c082b-b981-40b1-8f41-5f1d26f62d98,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/bd6241cf-13d5-4735-b469-c9e692341dd1,,Illinois,103rd
ocd-vote/895e9c95-46a4-45e7-80a1-d7b6f1d290e1,,Mental Health & Addiction,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/5fca4186-f635-4960-9bbf-6123d8ff4208,,Illinois,103rd
ocd-vote/f32bc4ae-8930-4baf-83d1-59424d378fea,,Third Reading,[],2023-02-16,pass,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-bill/93cf8d41-a39f-4d41-a303-4cfde3e62fda,,Illinois,103rd
