created_at,updated_at,extras,id,name,parent_id,jurisdiction_id,classification,sources,links,other_names
2023-02-15 00:38:21.742712+00:00,2024-10-08 20:04:05.586953+00:00,{},ocd-organization/a768fccb-7f6a-4f7f-812c-3fd066fc3889,Transportation: Vehicles & Safety,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2926&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2926&GA=103', 'note': ''}]","[{'name': 'House Committee on Transportation: Vehicles and Safety', 'end_date': '', 'start_date': ''}, {'name': 'House Transportation: Vehicles and Safety', 'end_date': '', 'start_date': ''}, {'name': 'House Transportation: Vehicles and Safety Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:16.726342+00:00,2024-10-08 20:04:05.638231+00:00,{},ocd-organization/e9fb127f-b865-49b0-9a3a-5c0408e193e8,Adoption & Child Welfare,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2936&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2936&GA=103', 'note': ''}]","[{'name': 'House Adoption and Child Welfare', 'end_date': '', 'start_date': ''}, {'name': 'House Adoption and Child Welfare Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Adoption and Child Welfare', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:22.307138+00:00,2024-10-08 20:04:05.666107+00:00,{},ocd-organization/8cb126a4-9a2e-4691-8f04-63b978f81766,Agriculture & Conservation,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2911&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2911&GA=103', 'note': ''}]","[{'name': 'House Agriculture and Conservation', 'end_date': '', 'start_date': ''}, {'name': 'House Agriculture and Conservation Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Agriculture and Conservation', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:14.232058+00:00,2024-10-08 20:04:05.718437+00:00,{},ocd-organization/48e9d231-a792-4be6-aa29-407a33e25e6a,Personnel & Pensions,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2894&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2894&GA=103', 'note': ''}]","[{'name': 'House Committee on Personnel and Pensions', 'end_date': '', 'start_date': ''}, {'name': 'House Personnel and Pensions', 'end_date': '', 'start_date': ''}, {'name': 'House Personnel and Pensions Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:13.958132+00:00,2024-10-08 20:04:05.745941+00:00,{},ocd-organization/0c369a49-5b86-406d-a930-56144c8b8788,Economic Opportunity & Equity,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2934&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': ''}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2934&GA=103', 'note': 'homepage'}]","[{'name': 'House Committee on Economic Opportunity and Equity', 'end_date': '', 'start_date': ''}, {'name': 'House Economic Opportunity and Equity', 'end_date': '', 'start_date': ''}, {'name': 'House Economic Opportunity and Equity Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:20.090966+00:00,2024-10-08 20:04:05.769541+00:00,{},ocd-organization/9ca34614-522d-44e4-aa82-52c0a3caa791,Health Care Licenses,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2924&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2924&GA=103', 'note': ''}]","[{'name': 'House Committee on Health Care Licenses', 'end_date': '', 'start_date': ''}, {'name': 'House Health Care Licenses', 'end_date': '', 'start_date': ''}, {'name': 'House Health Care Licenses Committee', 'end_date': '', 'start_date': ''}]"
2024-05-29 00:30:03.779702+00:00,2024-10-08 20:04:05.850009+00:00,{},ocd-organization/68b77a9c-6fad-4d44-8ea5-d875634a0d64,Immigration and Human Rights,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,[],"[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2953&GA=103', 'note': 'homepage'}]","[{'name': 'House Committee on Immigration and Human Rights', 'end_date': '', 'start_date': ''}, {'name': 'House Immigration and Human Rights', 'end_date': '', 'start_date': ''}, {'name': 'House Immigration and Human Rights Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:15.325694+00:00,2024-10-08 20:04:05.881644+00:00,{},ocd-organization/87a0f111-b794-427f-8ab3-ac1851ea082f,Approp-Elementary & Secondary Educ,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2879&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2879&GA=103', 'note': ''}]","[{'name': 'House Appropriations: Elementary and Secondary Education', 'end_date': '', 'start_date': ''}, {'name': 'House Appropriations: Elementary and Secondary Education Committee', 'end_date': '', 'start_date': ''}, {'name': 'House Committee on Appropriations: Elementary and Secondary Education', 'end_date': '', 'start_date': ''}]"
2024-05-29 00:30:03.379823+00:00,2024-10-08 20:04:05.966196+00:00,{},ocd-organization/a78b1293-0ed8-4b5e-b4b6-a65f790d85b0,Health Care Availability and Accessibility,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,[],"[{'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2889&GA=103', 'note': 'homepage'}]","[{'name': 'House Committee on Health Care Availability and Accessibility', 'end_date': '', 'start_date': ''}, {'name': 'House Health Care Availability and Accessibility', 'end_date': '', 'start_date': ''}, {'name': 'House Health Care Availability and Accessibility Committee', 'end_date': '', 'start_date': ''}]"
2023-02-15 00:38:19.816649+00:00,2024-10-08 20:04:06.013013+00:00,{},ocd-organization/fd129608-a5c3-4434-9430-33c57082b0f9,Police & Fire Committee,ocd-organization/76120f9a-2982-4cc5-a6e2-de7401fa0d38,ocd-jurisdiction/country:us/state:il/government,committee,"[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2954&GA=103', 'note': ''}]","[{'url': 'https://www.ilga.gov/house/committees/default.asp', 'note': 'homepage'}, {'url': 'https://www.ilga.gov/house/committees/members.asp?CommitteeID=2954&GA=103', 'note': ''}]","[{'name': 'House Committee on Police and Fire', 'end_date': '', 'start_date': ''}, {'name': 'House Police and Fire', 'end_date': '', 'start_date': ''}, {'name': 'House Police and Fire Committee', 'end_date': '', 'start_date': ''}]"
