id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/7421ce23-2cd0-4e8f-b27f-3babbbf16813,SB 1635,CHILD LABOR-PARK EMPLOYMENT,['bill'],[],104th,Illinois,upper
ocd-bill/8dacf22f-2747-467f-a46d-0fed3c689102,SR 84,MEMORIAL-GENE A. TROUTMAN,['resolution'],[],104th,Illinois,upper
ocd-bill/8c8bef59-a583-47a8-9dda-ce7aa9e3b9cc,SB 1623,EMPLOYEE CLASSIFY-DEVELOPER,['bill'],[],104th,Illinois,upper
ocd-bill/968487f6-0c74-4557-8530-8ba27ed14703,SR 79,MEMORIAL-A. DALE HUSTON,['resolution'],[],104th,Illinois,upper
ocd-bill/4794cac4-e543-4f05-a99b-18956aee2191,SB 1541,CONSUMER FRAUD-RECEIPTS,['bill'],[],104th,Illinois,upper
ocd-bill/48649298-e779-4174-b728-04407ecbd13a,SB 1569,CONT SUB-FETYNAL-PENALTIES,['bill'],[],104th,Illinois,upper
ocd-bill/07c2fb09-57d7-4206-8261-a58716127e5d,SB 1555,SCH CD-SPEC ED ADVIS COUNCIL,['bill'],[],104th,Illinois,upper
ocd-bill/45c41b09-1b94-4907-a07f-f61853e9f2a8,SB 1573,ELECTRONIC NOTARY FEE WAIVER,['bill'],[],104th,Illinois,upper
ocd-bill/2d61136f-1875-49c7-be84-81325d9d11a8,SB 1562,ILLINOIS-IRELAND TRADE COMM,['bill'],[],104th,Illinois,upper
ocd-bill/dfc0f3fd-f07b-4dd7-8b26-84ee11a2f1da,SB 246,NON-PROFIT INVESTMENT POOL,['bill'],[],104th,Illinois,upper
ocd-bill/36ed6fe5-b181-4f3e-9c33-8967812c1ff9,HB 2570,SURROGACY ESCROW PROT FUND,['bill'],[],104th,Illinois,lower
ocd-bill/fab1c838-a247-4849-b105-b1e8a2886dea,HB 1098,FIREFIGHTER-AGE RESTRICTION,['bill'],[],104th,Illinois,lower
ocd-bill/f202ed44-2b80-47e2-9400-463a2a342b54,SB 1206,FIREARMS RESTRAIN-LAW ENFORCE,['bill'],[],104th,Illinois,upper
ocd-bill/3639aa37-7e6d-4d99-87ed-5c76fd5dc81a,HB 1101,$TEACH IL SCHOLARSHIP PROGRAM,['bill'],[],104th,Illinois,lower
ocd-bill/f41c532d-9586-4b06-a626-04a9b836067a,HR 86,RECOGNIZES-LUNAR NEW YEAR,['resolution'],[],104th,Illinois,lower
ocd-bill/58aa0f2a-59c1-4e71-b82d-26d742236ef0,HR 99,MEMORIAL-CARL W. MOORE,['resolution'],[],104th,Illinois,lower
ocd-bill/1ca555ca-8a22-442b-9111-d25b6467acdc,SB 1615,SCH CD-FOREIGN LANG CURRICULA,['bill'],[],104th,Illinois,upper
ocd-bill/09ff49ee-b2bc-41a6-a96f-1e952a967385,SB 1534,COUNTY/MUNI-NATURAL GAS,['bill'],[],104th,Illinois,upper
ocd-bill/b03cd6a0-3fe7-4a8e-889e-bd904ffedb33,HB 1091,PROP TAX-CHARITABLE REHAB,['bill'],[],104th,Illinois,lower
ocd-bill/dfca4216-4d72-45b3-acb0-d1399212257f,HB 2453,GENDER-RELATED VIOLENCE,['bill'],[],104th,Illinois,lower
ocd-bill/066a7590-8e99-48db-92c9-0b7afa8852c2,SB 1224,FANTASY SPORTS PROTECTION ACT,['bill'],[],104th,Illinois,upper
ocd-bill/b4f5213b-2b2e-41ad-944c-ce54e29c0ab7,HB 1100,HEALTH CARE-ACCESS TO RECORDS,['bill'],[],104th,Illinois,lower
ocd-bill/579e6487-af1f-4292-a30c-22e8c900ce3e,AM 1040043,APPOINT-JULEIGH KONCHAK,['appointment'],[],104th,Illinois,upper
ocd-bill/9dc2c14d-5234-49fe-8f3b-1cb2b3698972,SR 95,MEMORIAL-CHELSEA J. ADOLPHUS,['resolution'],[],104th,Illinois,upper
ocd-bill/a7799fa4-c490-4114-b3a1-da831fc66bec,SB 1333,CONCEALED CARRY-RECIPROCITY,['bill'],[],104th,Illinois,upper
ocd-bill/bcc6b525-4994-4468-881c-6681f9853078,SB 1506,SPECIAL VEH PLATE-DOLLY PARTON,['bill'],[],104th,Illinois,upper
ocd-bill/25ddf9fa-577a-44e7-8ee8-eab5ef474193,SB 1308,$WESTERN ILLINOIS-QUAD CITIES,['bill'],[],104th,Illinois,upper
ocd-bill/8171bb19-472b-4684-a901-ea60c5f63d89,HB 2573,FINANCE-TECH,['bill'],[],104th,Illinois,lower
ocd-bill/94e7f3a2-eaad-4fa3-b737-3b5c3ba89864,SB 1577,TOBACCO STORES NEAR SCHOOL ACT,['bill'],[],104th,Illinois,upper
ocd-bill/7e20623b-d9e6-4f11-961a-0036880616b5,SB 1595,DNR FLOOD EVENT CONSTRUCTION,['bill'],[],104th,Illinois,upper
ocd-bill/91a234e3-eaef-4520-bd7a-784adbf2c9ba,HB 1077,PUBLIC EXPRESSION PROTECTION,['bill'],[],104th,Illinois,lower
ocd-bill/6ad15ea5-7664-4dbb-bbbe-571e3158460b,SB 1543,INC TX-UNION DUES,['bill'],[],104th,Illinois,upper
ocd-bill/e3d4050d-6c65-4c92-bb10-ddd94cda2103,SB 1597,REMEDIATION OF FLUID RELEASE,['bill'],[],104th,Illinois,upper
ocd-bill/40adc9d0-3c28-4bc2-a0df-06ccee057607,SB 1517,WILDLIFE-TECH,['bill'],[],104th,Illinois,upper
ocd-bill/cdc2d5a1-82df-4923-b241-c6d08bfe76aa,SB 1636,SCH CD-COMPUTER SCIENCE REQ,['bill'],[],104th,Illinois,upper
ocd-bill/522f7971-fb1b-4e30-9c59-6d9e8953fbd5,SB 2735,LAKE COUNTY-QUICK TAKE,['bill'],[],104th,Illinois,upper
ocd-bill/fb7196a4-577a-44e4-989a-a0c34f29dd6b,HB 2431,ELEC CD-RANKED-CHOICE VOTING,['bill'],[],104th,Illinois,lower
ocd-bill/ae7fd18b-3b63-451b-bdf7-4a77b838fc52,HB 2455,SCH CD-SPEC ED ADVIS COUNCIL,['bill'],[],104th,Illinois,lower
ocd-bill/3ffc0499-da84-4faa-bc15-a3cfc389d3d5,SB 1540,UETA-AGENCY RULES,['bill'],[],104th,Illinois,upper
ocd-bill/d12be166-f616-4089-87a6-78a24ea7fc64,SB 1312,HEALTH FACILITY-NURSING HOME,['bill'],[],104th,Illinois,upper
ocd-bill/b855c9d7-8caf-4fae-824c-dd4f3bd81a79,SB 1592,VEH CD-ZERO EMISSION DELIVERY,['bill'],[],104th,Illinois,upper
ocd-bill/3f360d7f-166b-4624-a14d-7a9b2896ad21,SB 1508,DCFS-OFFICE OF ALUMNI SUPPORT,['bill'],[],104th,Illinois,upper
ocd-bill/3777816e-a3d3-42e3-8daa-1e00796faed1,SR 81,RIGHTS OF THE CHILD,['resolution'],[],104th,Illinois,upper
