id,vote_event_id,option,value
4b67eaef-1816-41d0-b5ca-4d8faddc32f8,ocd-vote/746fecca-35db-4cf1-a1c7-d461e6702dfd,other,0
f205a0b2-f1f9-4325-a56f-046a7a923219,ocd-vote/746fecca-35db-4cf1-a1c7-d461e6702dfd,no,0
87f031bc-1dd9-4fca-8963-6238768f8604,ocd-vote/746fecca-35db-4cf1-a1c7-d461e6702dfd,yes,57
be3b4b5a-ea1e-415f-86f8-9f2248bfda96,ocd-vote/c4f06537-8172-4f4a-8e5a-278a778f7a00,absent,0
c33d15cb-3f53-4192-9a04-f8bb5bed8a68,ocd-vote/c4f06537-8172-4f4a-8e5a-278a778f7a00,excused,0
b9763f82-6f90-4228-8d28-0b1856db0632,ocd-vote/c4f06537-8172-4f4a-8e5a-278a778f7a00,other,0
986a9a3d-d9d3-4a86-8385-79ce450e7aa9,ocd-vote/c4f06537-8172-4f4a-8e5a-278a778f7a00,no,0
4152ca23-331c-4a5c-9bae-5e597b77ac22,ocd-vote/c4f06537-8172-4f4a-8e5a-278a778f7a00,yes,55
b51e80af-a6f6-44eb-8a0f-1d95496040f5,ocd-vote/c4a2a4f5-4a97-4b03-92b3-9d01023ee348,not voting,0
c2cecdd1-b01c-4648-b19d-312f4c835791,ocd-vote/874c8208-8b8a-49ab-8593-615f77c92b7b,not voting,2
a90e5368-332e-424f-8e12-c8e521114d78,ocd-vote/874c8208-8b8a-49ab-8593-615f77c92b7b,absent,0
d1eedb42-ac51-4786-9cf5-8bbc9acd4493,ocd-vote/874c8208-8b8a-49ab-8593-615f77c92b7b,excused,0
3cc21ed5-cedf-400b-a602-995be8d88c29,ocd-vote/874c8208-8b8a-49ab-8593-615f77c92b7b,other,0
6c4b24a9-3244-4a55-b776-2528cf85aa95,ocd-vote/874c8208-8b8a-49ab-8593-615f77c92b7b,no,0
c3581f82-d106-4117-81c6-7fe786c21a13,ocd-vote/874c8208-8b8a-49ab-8593-615f77c92b7b,yes,57
f03b045d-041b-4d37-87df-78ab682e34f6,ocd-vote/75d07f24-62f3-4fe0-87dd-9b4862a1e9c3,not voting,1
903355d5-eb5a-44ad-be00-9d7b19c03eb1,ocd-vote/75d07f24-62f3-4fe0-87dd-9b4862a1e9c3,absent,0
5597a8f6-6203-49d4-b64c-ab4f91676da6,ocd-vote/75d07f24-62f3-4fe0-87dd-9b4862a1e9c3,excused,0
f9bed82b-3822-4493-970f-facf9e78b052,ocd-vote/75d07f24-62f3-4fe0-87dd-9b4862a1e9c3,other,0
644c668e-2f53-4ea4-aa95-3c6acc61d2e6,ocd-vote/75d07f24-62f3-4fe0-87dd-9b4862a1e9c3,no,0
0d3da965-628c-4989-9d9c-1020a6321a1d,ocd-vote/75d07f24-62f3-4fe0-87dd-9b4862a1e9c3,yes,58
668a10e6-aae6-43af-b5e9-f62f037daad4,ocd-vote/c4a2a4f5-4a97-4b03-92b3-9d01023ee348,absent,0
a2a0f050-456a-4dad-92ee-aaa5a8452d46,ocd-vote/c4a2a4f5-4a97-4b03-92b3-9d01023ee348,excused,0
4158c220-eb05-4752-903e-cf70ab68bec2,ocd-vote/c4a2a4f5-4a97-4b03-92b3-9d01023ee348,other,0
effb059b-905b-4eb0-8d9f-bee6d17603c8,ocd-vote/c4a2a4f5-4a97-4b03-92b3-9d01023ee348,no,0
65f577fc-fb39-4e30-a4ac-d8a67902a540,ocd-vote/c4a2a4f5-4a97-4b03-92b3-9d01023ee348,yes,59
d3fca8e9-1164-46af-8d67-1a7295391d0d,ocd-vote/983b78fb-fdb5-40ce-b491-279294afc7dd,not voting,1
8aaec523-c5f2-4cad-8c09-c2826a43325f,ocd-vote/27909f09-576c-4336-bb75-9e74acc9a1e2,not voting,0
9d791daf-e4c7-434c-a2bc-2a10535cda24,ocd-vote/27909f09-576c-4336-bb75-9e74acc9a1e2,absent,0
e5b13900-a9f5-47be-8239-cf778787e74c,ocd-vote/27909f09-576c-4336-bb75-9e74acc9a1e2,excused,3
1089aa53-e806-4c9a-a991-46447a60b668,ocd-vote/27909f09-576c-4336-bb75-9e74acc9a1e2,other,0
35a4bc84-a872-4d06-9f60-13878efafb4f,ocd-vote/27909f09-576c-4336-bb75-9e74acc9a1e2,no,0
47a4a1bb-4fa2-4fdb-ada6-ef468ec02d7a,ocd-vote/27909f09-576c-4336-bb75-9e74acc9a1e2,yes,115
de8c5b9f-f491-4d08-b897-6051b38c67aa,ocd-vote/7966ae73-06a6-457f-8468-c3c30b80604f,not voting,1
3d1f0baf-a538-4e39-875b-aa432f4787fd,ocd-vote/7966ae73-06a6-457f-8468-c3c30b80604f,absent,0
e88f47a8-57f7-4c19-a0aa-b9240b74f9d8,ocd-vote/7966ae73-06a6-457f-8468-c3c30b80604f,excused,3
a473891b-75bf-47af-b1a9-d615a8272c23,ocd-vote/7966ae73-06a6-457f-8468-c3c30b80604f,other,0
bebe234d-843d-457c-b948-ef6a08e40ff4,ocd-vote/7966ae73-06a6-457f-8468-c3c30b80604f,no,0
3b6d0cd6-980d-4b51-895d-f1584253dfea,ocd-vote/7966ae73-06a6-457f-8468-c3c30b80604f,yes,114
dacaed68-284c-4210-a14d-6425364defdd,ocd-vote/983b78fb-fdb5-40ce-b491-279294afc7dd,absent,0
2ebd7a00-18c4-4896-b565-d8c3f5f3cbd5,ocd-vote/983b78fb-fdb5-40ce-b491-279294afc7dd,excused,0
8ef42937-d79b-4b62-bd52-bc57cacd60ae,ocd-vote/983b78fb-fdb5-40ce-b491-279294afc7dd,other,0
34d30040-96b9-4c36-846f-9939608d0d68,ocd-vote/983b78fb-fdb5-40ce-b491-279294afc7dd,no,0
396c82eb-3b61-4fbe-8b98-7c39dd3eb67e,ocd-vote/983b78fb-fdb5-40ce-b491-279294afc7dd,yes,58
5ca217d7-2bfb-438b-a2db-1197203b5d11,ocd-vote/fbca3011-4809-49f2-92de-9295aea52fac,not voting,4
eb845447-7f62-4df8-a739-0b59f34a94af,ocd-vote/fedf6622-f171-43bc-950e-3f5273e9d7ff,not voting,2
c736fe5b-b0aa-4293-9c82-8a33ad4f3f1c,ocd-vote/fedf6622-f171-43bc-950e-3f5273e9d7ff,absent,0
fd23d259-b24e-432c-913c-a913694379f6,ocd-vote/fedf6622-f171-43bc-950e-3f5273e9d7ff,excused,17
36d6fd44-e1d5-4589-821b-0b56a1d4efb6,ocd-vote/fedf6622-f171-43bc-950e-3f5273e9d7ff,other,0
2c5bc206-86a3-429c-af42-419ee836502b,ocd-vote/fedf6622-f171-43bc-950e-3f5273e9d7ff,no,0
