id,bill_id,note,date,classification,extras
295868e0-bf20-485d-98fc-5b9059227ad5,ocd-bill/f819fe5b-c2d1-4918-83cb-f8d4253d13a1,Introduced,,,{}
8cb61dc5-60ce-4a79-b933-6a953aa1fcef,ocd-bill/bb6254ff-9355-48ae-9351-ec2fd8d755fa,Introduced,,,{}
009c76d0-f09b-4ec4-843c-ada9fd2ec3b5,ocd-bill/2c9b02b0-9bb7-4de8-961b-235811d18be8,Introduced,,,{}
a4543290-e56d-41ed-bd13-39cda310c9cc,ocd-bill/d3766cca-0e07-499d-b2c2-e9f245257028,Introduced,,,{}
845cb3c5-2beb-4952-8af5-193f9ada19db,ocd-bill/5c0bdd85-ef05-499c-9191-cf687953d32e,Introduced,,,{}
be0054d6-4209-43c9-9d5c-6d3ddc2c45d1,ocd-bill/31c1f827-1d40-4aa9-820f-2d9d182f3e39,Introduced,,,{}
6cd47fb0-fcab-493b-999b-4e2fc5752b1f,ocd-bill/31c1f827-1d40-4aa9-820f-2d9d182f3e39,Engrossed,,,{}
f602ea90-7037-4774-a8f3-bcc9eea5127b,ocd-bill/c1f4441f-c3f4-43d6-99de-e2e5c00c35c6,Introduced,,,{}
b8698c84-1eff-4a48-8966-92352612846e,ocd-bill/4adab35b-40c5-46aa-af22-2103a3b9c1bb,Introduced,,,{}
b0f43e3d-b920-460a-a54e-2b235fdcf0c2,ocd-bill/55e7307e-18e2-4338-b752-5c75c479c5bb,Introduced,,,{}
349a54a4-3585-4a2c-a46d-0d82d3260f7f,ocd-bill/c0cf1411-e6e9-4fe5-aa59-ea7e5de5215e,Introduced,,,{}
1ca1a5a2-b31c-416e-83bd-f6027dbc21b8,ocd-bill/d001f46c-ba93-477a-8879-944e24e11c92,Introduced,,,{}
1a81d1e9-d221-4c33-8c16-a65759d71b2a,ocd-bill/4f440398-3c59-430c-9ddf-9da8f953143f,Introduced,,,{}
4a3ecd56-25ac-4866-82c1-7173699c8289,ocd-bill/607358e5-26b8-4a88-bb0c-ad7df6af0bc4,Introduced,,,{}
a4bf19c0-850a-4409-bffd-4853f25df0bc,ocd-bill/a29aa370-c35f-44cd-b757-ff8ece39cc75,Introduced,,,{}
a193356e-e6d5-4228-8ee3-1a3b54ef9c81,ocd-bill/2d1f8b2a-a935-486e-bdea-f1ba8262120a,Introduced,,,{}
d9363e60-d4ce-46e7-92b5-553143bd294b,ocd-bill/6bc794ac-f7e8-4ed2-a7f5-0a364c044ae3,Introduced,,,{}
30053451-709e-479d-a2ed-5fc6df718049,ocd-bill/c38d6f3f-e92d-4b88-ab43-1e8d4f89bdf6,Introduced,,,{}
b884671e-c5a0-4104-b641-8197eb8e03e2,ocd-bill/c38d6f3f-e92d-4b88-ab43-1e8d4f89bdf6,Engrossed,,,{}
446df117-6014-4838-99b0-9b73810b0709,ocd-bill/be0a722a-b19a-4541-9b14-ba1308c9fcd5,Introduced,,,{}
f5f9674f-42e5-44a9-a45b-c45178a8fc0b,ocd-bill/00b1c538-8be5-4688-a499-9673f9a8b9f7,Introduced,,,{}
f0185db1-703d-413f-9a4f-2ba614a5ddfa,ocd-bill/00b1c538-8be5-4688-a499-9673f9a8b9f7,House Amendment 001,,,{}
bf1fc4e8-65a0-4280-87a6-b0557029cb9c,ocd-bill/9c50190d-2538-4825-8d4d-9658bbd41a01,Introduced,,,{}
b76f9a44-ac33-4a33-9bec-d5a60d03860c,ocd-bill/9ca6a22f-1f96-42a5-b43f-202b6142d140,Introduced,,,{}
91976639-764d-4ea3-bfbf-99ee9dd08cd5,ocd-bill/c8c60cb9-e41d-414c-ade3-83c81514cb52,Introduced,,,{}
14bab628-d359-417d-b956-957dd62a449b,ocd-bill/811a729a-4b73-4d03-8b32-f451e7216572,Introduced,,,{}
15da5b03-388f-466f-bbd3-7ac842ca6a56,ocd-bill/811a729a-4b73-4d03-8b32-f451e7216572,House Amendment 001,,,{}
3ee2c2c2-ebd4-4527-af77-c6cd2915e11a,ocd-bill/b83a422c-f9e4-49dd-8588-35764f404a71,Introduced,,,{}
add949a5-85fe-4300-819f-568cdb4487a1,ocd-bill/279ba371-1a0e-4fdf-a92b-3fdb1705e96a,Introduced,,,{}
6b8c1005-95bd-4c29-93ef-080709b7620d,ocd-bill/8ecc7f26-108d-4ded-9e18-501e76da82f0,Introduced,,,{}
10287a36-0b07-4734-9206-100af9daecbc,ocd-bill/0da6808c-aa7c-4d05-a230-76421a1d737d,Introduced,,,{}
c63f1bab-1dc1-4550-9e79-ad4ec7819613,ocd-bill/264d7a00-c23a-44a8-84f8-dba90c0baa39,Introduced,,,{}
59cee9ef-a0fc-4b1b-946c-cd1913330f56,ocd-bill/67f4de78-0b6b-4fab-bce3-be267a581a83,Introduced,,,{}
08990f73-a8ae-4976-b827-f85650551434,ocd-bill/b3e176f0-70d9-4cff-b8cb-c121f9e979b7,Introduced,,,{}
1eb771ae-200f-4249-ad5a-50b038de315c,ocd-bill/98ba38eb-92b8-499e-9417-d08a8097ed27,Introduced,,,{}
62e0ce46-c42b-47dc-93fb-12dc37fbc89b,ocd-bill/165d25cf-66fd-4ea0-be22-36490c10b05c,Introduced,,,{}
f24f813d-3bd5-4951-af48-bb58f6f41937,ocd-bill/5778e48a-9a2d-4bbc-9b13-0819c5419e35,Introduced,,,{}
22d1dc68-4b24-4605-81a7-a0c150988ef4,ocd-bill/f5644243-ff12-4110-b871-65f17ed25169,Introduced,,,{}
180acb56-06ef-43ef-a06a-378951e8df7d,ocd-bill/9a332b7b-3880-4c6e-ad86-bbadaa5f3dff,Introduced,,,{}
a293ba12-dc80-4fb6-81af-2498a4864d00,ocd-bill/9a332b7b-3880-4c6e-ad86-bbadaa5f3dff,Engrossed,,,{}
921ead6b-16c0-4a61-bf58-a3a3847ef6f3,ocd-bill/9a332b7b-3880-4c6e-ad86-bbadaa5f3dff,Enrolled,,,{}
3b07abc5-8c05-4ab8-a50f-9d5aa767d97d,ocd-bill/febb3337-5a31-4035-ade1-5dd9f396d83c,Introduced,,,{}
75707f73-35b2-49bf-9fa2-90e6dea90654,ocd-bill/f656a7cb-c35f-4d8d-8066-d8a0313eb351,Introduced,,,{}
a90d21ed-4f45-44b7-89d3-b3ba282819fe,ocd-bill/1f7ab72d-6699-4602-a385-b62515bc18f0,Introduced,,,{}
1843bd22-4c72-455f-8abc-515a32d2d5a4,ocd-bill/1f7ab72d-6699-4602-a385-b62515bc18f0,Senate Amendment 001,,,{}
f6f0a3c2-0512-4722-8d88-dcb6b02d029c,ocd-bill/1e5a80d8-80d4-4342-a1d6-53cb1315ecf9,Introduced,,,{}
25a90fcb-a435-4654-b414-66871b9082c1,ocd-bill/1e5a80d8-80d4-4342-a1d6-53cb1315ecf9,Engrossed,,,{}
b358fa44-1a18-4488-9344-d833fcbdbf71,ocd-bill/1e5a80d8-80d4-4342-a1d6-53cb1315ecf9,Enrolled,,,{}
bab19074-ef9f-491e-9520-8c728357b36a,ocd-bill/1e5a80d8-80d4-4342-a1d6-53cb1315ecf9,Senate Amendment 001,,,{}
71db3f33-7930-440f-a696-9bde011af717,ocd-bill/1e5a80d8-80d4-4342-a1d6-53cb1315ecf9,House Amendment 001,,,{}
d1e2985a-9788-4685-b80b-8990a3a1f9cd,ocd-bill/1e5a80d8-80d4-4342-a1d6-53cb1315ecf9,House Amendment 002,,,{}
f05cd5b2-36ea-4075-a1c1-619e55cd6036,ocd-bill/49d400b9-37f8-43d3-b6da-c30a900021a9,Introduced,,,{}
0e177274-aad8-4daf-9cfc-900dbb5c418f,ocd-bill/49d400b9-37f8-43d3-b6da-c30a900021a9,Engrossed,,,{}
a823e7bd-4687-4893-8022-4c23880c114e,ocd-bill/49d400b9-37f8-43d3-b6da-c30a900021a9,Senate Amendment 001,,,{}
d6dcb942-91cd-4a98-9f5b-dc579ddf4011,ocd-bill/49d400b9-37f8-43d3-b6da-c30a900021a9,House Amendment 001,,,{}
10cea22e-3e9c-4777-87e7-83941188cf60,ocd-bill/49d400b9-37f8-43d3-b6da-c30a900021a9,House Amendment 002,,,{}
3a3715af-968c-43e8-bbd4-3ccf830700c2,ocd-bill/49d400b9-37f8-43d3-b6da-c30a900021a9,House Amendment 003,,,{}
f595f82f-bc50-4a18-9616-7ad48623add1,ocd-bill/49d400b9-37f8-43d3-b6da-c30a900021a9,House Amendment 004,,,{}
9a23fedf-f118-4e43-ac51-833f98183a39,ocd-bill/49d400b9-37f8-43d3-b6da-c30a900021a9,House Amendment 005,,,{}
e18087b0-dda0-49d2-bc8e-41a0d2632b4b,ocd-bill/7455906f-0771-4932-8500-e0b7db81dad1,Introduced,,,{}
87461694-e699-4e08-b207-7d37f72045a3,ocd-bill/73cc6f48-5210-420c-9ffb-afb1007084bc,Introduced,,,{}
5b967876-cbcb-4d6d-ac00-93f7126e0fe6,ocd-bill/73cc6f48-5210-420c-9ffb-afb1007084bc,Engrossed,,,{}
beb59966-5277-4a25-b518-82ca8b2f707b,ocd-bill/73cc6f48-5210-420c-9ffb-afb1007084bc,Senate Amendment 001,,,{}
2f4a6281-65fc-4ef1-882c-609cfbe4a087,ocd-bill/73cc6f48-5210-420c-9ffb-afb1007084bc,Senate Amendment 002,,,{}
8cc68b99-36cb-4bef-bce5-53dbc59073f2,ocd-bill/942e4236-ffc2-4b5c-bce5-e7f3f3c380a8,Introduced,,,{}
33430c02-b185-44af-81df-636f26017168,ocd-bill/cac11ff7-0972-465d-be14-9dd05a700679,Introduced,,,{}
5ec708e4-806e-4ee6-9b98-3385d00180e4,ocd-bill/ebd0e6b0-3bb7-4d56-af4d-138eafae5011,Introduced,,,{}
a5190109-8700-46da-8412-c93750ff91a6,ocd-bill/ebd0e6b0-3bb7-4d56-af4d-138eafae5011,Engrossed,,,{}
ac58ae1d-e334-4582-ad08-c0e221735264,ocd-bill/ebd0e6b0-3bb7-4d56-af4d-138eafae5011,Senate Amendment 001,,,{}
5a2b49b7-3a22-4eab-a92f-c4070582797b,ocd-bill/ae016c63-114f-4da8-bf43-46bd9d6cea25,Introduced,,,{}
05a56e8c-2dcc-48ce-9162-82aad94563d0,ocd-bill/eb4b3ec9-1a4d-458f-b353-af6321b42756,Introduced,,,{}
e2db92d7-e721-409a-b72a-ce46002d150d,ocd-bill/8901ae33-a149-4b13-8b39-84c8a59f8de0,Introduced,,,{}
a8f617eb-f536-4b1d-bc06-c8e08d78d89a,ocd-bill/31df458b-20c1-4769-899b-110702c8423e,Introduced,,,{}
215fd80f-cf21-477d-97e9-52ce4b030bc4,ocd-bill/a22d7217-e0f6-4fd1-b7b3-6e350ff55dfd,Introduced,,,{}
81d6b3ad-743d-4214-a124-b75cf3e168e2,ocd-bill/38b245a8-28ea-42c1-bbf0-6bc3f67a6028,Introduced,,,{}
5c4da53c-eeea-4d07-94ec-e402d1f58a6c,ocd-bill/f2cd493f-1f17-45cf-ada7-47234e54b479,Introduced,,,{}
7ddaa613-6072-4f79-94b2-fe493764277d,ocd-bill/3afd0b0a-51c1-47a7-b57c-6ab5a18f6b33,Introduced,,,{}
871bd2dc-9e72-4227-aacb-46b0ab4218ac,ocd-bill/8c53efd7-b124-4a30-94b0-330e9b170853,Introduced,,,{}
96ea08d9-0eeb-4f38-828f-e66f37d03782,ocd-bill/f6c0ad1f-20ef-4882-9ed5-a9fa70d6b437,Introduced,,,{}
f38781f7-f012-45b7-9e8d-5d8acf318002,ocd-bill/9cf69e04-2681-4657-b990-94f5347cf6d3,Introduced,,,{}
7119c44b-0a63-49c6-a36a-ac45188f94f5,ocd-bill/98260bc9-9ce1-4938-ab63-0a5ea02bc6c2,Introduced,,,{}
4ea63e84-418e-4685-a8f5-7fed3aed913e,ocd-bill/3639aa37-7e6d-4d99-87ed-5c76fd5dc81a,Introduced,,,{}
